ISO 2,count,code,flux_num,flux_percentage
Alabama,62.0,AL,3937.0,1.574803149606299
Arizona,17.0,AZ,3937.0,0.4318008636017272
Arkansas,15.0,AR,3937.0,0.381000762001524
California,60.0,CA,3937.0,1.524003048006096
Colorado,25.0,CO,3937.0,0.63500127000254
Connecticut,1.0,CT,3937.0,0.025400050800101596
Delaware,1.0,DE,3937.0,0.025400050800101596
District of Columbia,29.0,DC,3937.0,0.7366014732029463
Florida,200.0,FL,3937.0,5.08001016002032
Georgia,38.0,GA,3937.0,0.9652019304038608
Idaho,,ID,3937.0,
Illinois,72.0,IL,3937.0,1.8288036576073152
Indiana,13.0,IN,3937.0,0.3302006604013208
Iowa,8.0,IA,3937.0,0.20320040640081277
Kansas,18.0,KS,3937.0,0.4572009144018288
Kentucky,15.0,KY,3937.0,0.381000762001524
Louisiana,2592.0,LA,3937.0,65.83693167386335
Maine,3.0,ME,3937.0,0.0762001524003048
Maryland,12.0,MD,3937.0,0.3048006096012192
Massachusetts,10.0,MA,3937.0,0.25400050800101603
Michigan,20.0,MI,3937.0,0.5080010160020321
Minnesota,11.0,MN,3937.0,0.27940055880111764
Mississippi,37.0,MS,3937.0,0.9398018796037593
Missouri,4.0,MO,3937.0,0.10160020320040639
Montana,2.0,MT,3937.0,0.05080010160020319
Nebraska,4.0,NE,3937.0,0.10160020320040639
Nevada,17.0,NV,3937.0,0.4318008636017272
New Hampshire,1.0,NH,3937.0,0.025400050800101596
New Jersey,12.0,NJ,3937.0,0.3048006096012192
New Mexico,2.0,NM,3937.0,0.05080010160020319
New York,104.0,NY,3937.0,2.6416052832105663
North Carolina,24.0,NC,3937.0,0.6096012192024384
North Dakota,,ND,3937.0,
Ohio,27.0,OH,3937.0,0.6858013716027432
Oklahoma,6.0,OK,3937.0,0.1524003048006096
Oregon,21.0,OR,3937.0,0.5334010668021336
Pennsylvania,22.0,PA,3937.0,0.5588011176022353
Rhode Island,,RI,3937.0,
South Carolina,3.0,SC,3937.0,0.0762001524003048
South Dakota,2.0,SD,3937.0,0.05080010160020319
Tennessee,34.0,TN,3937.0,0.8636017272034544
Texas,344.0,TX,3937.0,8.73761747523495
Utah,12.0,UT,3937.0,0.3048006096012192
Vermont,1.0,VT,3937.0,0.025400050800101596
Virginia,11.0,VA,3937.0,0.27940055880111764
West Virginia,5.0,WV,3937.0,0.12700025400050802
Wisconsin,16.0,WI,3937.0,0.40640081280162554
Wyoming,4.0,WY,3937.0,0.10160020320040639
