ISO 2,count,code,flux_num,flux_percentage
Alabama,7.0,AL,1032.0,0.6782945736434108
Arizona,4.0,AZ,1032.0,0.3875968992248062
Arkansas,1.0,AR,1032.0,0.09689922480620156
California,19.0,CA,1032.0,1.8410852713178296
Colorado,3.0,CO,1032.0,0.29069767441860467
Connecticut,3.0,CT,1032.0,0.29069767441860467
Delaware,,DE,1032.0,
District of Columbia,9.0,DC,1032.0,0.872093023255814
Florida,13.0,FL,1032.0,1.2596899224806202
Georgia,10.0,GA,1032.0,0.9689922480620154
Idaho,1.0,ID,1032.0,0.09689922480620156
Illinois,7.0,IL,1032.0,0.6782945736434108
Indiana,7.0,IN,1032.0,0.6782945736434108
Iowa,3.0,IA,1032.0,0.29069767441860467
Kansas,7.0,KS,1032.0,0.6782945736434108
Kentucky,3.0,KY,1032.0,0.29069767441860467
Louisiana,2.0,LA,1032.0,0.1937984496124031
Maine,662.0,ME,1032.0,64.14728682170544
Maryland,2.0,MD,1032.0,0.1937984496124031
Massachusetts,16.0,MA,1032.0,1.550387596899225
Michigan,2.0,MI,1032.0,0.1937984496124031
Minnesota,2.0,MN,1032.0,0.1937984496124031
Mississippi,2.0,MS,1032.0,0.1937984496124031
Missouri,3.0,MO,1032.0,0.29069767441860467
Montana,2.0,MT,1032.0,0.1937984496124031
Nebraska,1.0,NE,1032.0,0.09689922480620156
Nevada,4.0,NV,1032.0,0.3875968992248062
New Hampshire,4.0,NH,1032.0,0.3875968992248062
New Jersey,8.0,NJ,1032.0,0.7751937984496124
New Mexico,1.0,NM,1032.0,0.09689922480620156
New York,17.0,NY,1032.0,1.6472868217054266
North Carolina,9.0,NC,1032.0,0.872093023255814
North Dakota,,ND,1032.0,
Ohio,8.0,OH,1032.0,0.7751937984496124
Oklahoma,1.0,OK,1032.0,0.09689922480620156
Oregon,96.0,OR,1032.0,9.30232558139535
Pennsylvania,36.0,PA,1032.0,3.488372093023256
Rhode Island,3.0,RI,1032.0,0.29069767441860467
South Carolina,2.0,SC,1032.0,0.1937984496124031
South Dakota,,SD,1032.0,
Tennessee,3.0,TN,1032.0,0.29069767441860467
Texas,34.0,TX,1032.0,3.2945736434108532
Utah,4.0,UT,1032.0,0.3875968992248062
Vermont,1.0,VT,1032.0,0.09689922480620156
Virginia,4.0,VA,1032.0,0.3875968992248062
West Virginia,,WV,1032.0,
Wisconsin,5.0,WI,1032.0,0.4844961240310077
Wyoming,1.0,WY,1032.0,0.09689922480620156
