ISO 2,count,code,flux_num,flux_percentage
Alabama,14.0,AL,3323.0,0.4213060487511285
Arizona,27.0,AZ,3323.0,0.8125188083057477
Arkansas,16.0,AR,3323.0,0.48149262714414687
California,81.0,CA,3323.0,2.4375564249172434
Colorado,31.0,CO,3323.0,0.9328919650917845
Connecticut,8.0,CT,3323.0,0.24074631357207343
Delaware,,DE,3323.0,
District of Columbia,63.0,DC,3323.0,1.8958772193800784
Florida,88.0,FL,3323.0,2.648209449292808
Georgia,35.0,GA,3323.0,1.0532651218778213
Idaho,4.0,ID,3323.0,0.12037315678603672
Illinois,173.0,IL,3323.0,5.206139030996088
Indiana,24.0,IN,3323.0,0.7222389407162202
Iowa,30.0,IA,3323.0,0.9027986758952753
Kansas,99.0,KS,3323.0,2.9792356304544088
Kentucky,18.0,KY,3323.0,0.5416792055371652
Louisiana,15.0,LA,3323.0,0.45139933794763765
Maine,4.0,ME,3323.0,0.12037315678603672
Maryland,20.0,MD,3323.0,0.6018657839301835
Massachusetts,20.0,MA,3323.0,0.6018657839301835
Michigan,31.0,MI,3323.0,0.9328919650917845
Minnesota,23.0,MN,3323.0,0.6921456515197111
Mississippi,15.0,MS,3323.0,0.45139933794763765
Missouri,1892.0,MO,3323.0,56.93650315979537
Montana,1.0,MT,3323.0,0.03009328919650918
Nebraska,20.0,NE,3323.0,0.6018657839301835
Nevada,10.0,NV,3323.0,0.30093289196509176
New Hampshire,,NH,3323.0,
New Jersey,5.0,NJ,3323.0,0.15046644598254588
New Mexico,1.0,NM,3323.0,0.03009328919650918
New York,92.0,NY,3323.0,2.7685826060788443
North Carolina,23.0,NC,3323.0,0.6921456515197111
North Dakota,3.0,ND,3323.0,0.09027986758952752
Ohio,44.0,OH,3323.0,1.324104724646404
Oklahoma,16.0,OK,3323.0,0.48149262714414687
Oregon,10.0,OR,3323.0,0.30093289196509176
Pennsylvania,46.0,PA,3323.0,1.3842913030394222
Rhode Island,,RI,3323.0,
South Carolina,15.0,SC,3323.0,0.45139933794763765
South Dakota,5.0,SD,3323.0,0.15046644598254588
Tennessee,26.0,TN,3323.0,0.7824255191092387
Texas,212.0,TX,3323.0,6.3797773096599455
Utah,6.0,UT,3323.0,0.18055973517905505
Vermont,1.0,VT,3323.0,0.03009328919650918
Virginia,24.0,VA,3323.0,0.7222389407162202
West Virginia,1.0,WV,3323.0,0.03009328919650918
Wisconsin,25.0,WI,3323.0,0.7523322299127295
Wyoming,6.0,WY,3323.0,0.18055973517905505
