ISO 2,count,code,flux_num,flux_percentage
Alabama,34.0,AL,1345.0,2.5278810408921935
Arizona,6.0,AZ,1345.0,0.44609665427509293
Arkansas,15.0,AR,1345.0,1.1152416356877324
California,14.0,CA,1345.0,1.0408921933085502
Colorado,4.0,CO,1345.0,0.29739776951672864
Connecticut,1.0,CT,1345.0,0.07434944237918216
Delaware,1.0,DE,1345.0,0.07434944237918216
District of Columbia,7.0,DC,1345.0,0.5204460966542751
Florida,74.0,FL,1345.0,5.5018587360594795
Georgia,16.0,GA,1345.0,1.1895910780669146
Idaho,1.0,ID,1345.0,0.07434944237918216
Illinois,48.0,IL,1345.0,3.5687732342007434
Indiana,8.0,IN,1345.0,0.5947955390334573
Iowa,5.0,IA,1345.0,0.37174721189591076
Kansas,7.0,KS,1345.0,0.5204460966542751
Kentucky,21.0,KY,1345.0,1.5613382899628252
Louisiana,43.0,LA,1345.0,3.197026022304833
Maine,2.0,ME,1345.0,0.14869888475836432
Maryland,2.0,MD,1345.0,0.14869888475836432
Massachusetts,4.0,MA,1345.0,0.29739776951672864
Michigan,9.0,MI,1345.0,0.6691449814126395
Minnesota,6.0,MN,1345.0,0.44609665427509293
Mississippi,685.0,MS,1345.0,50.92936802973978
Missouri,14.0,MO,1345.0,1.0408921933085502
Montana,1.0,MT,1345.0,0.07434944237918216
Nebraska,10.0,NE,1345.0,0.7434944237918215
Nevada,3.0,NV,1345.0,0.22304832713754646
New Hampshire,,NH,1345.0,
New Jersey,3.0,NJ,1345.0,0.22304832713754646
New Mexico,2.0,NM,1345.0,0.14869888475836432
New York,42.0,NY,1345.0,3.1226765799256504
North Carolina,16.0,NC,1345.0,1.1895910780669146
North Dakota,,ND,1345.0,
Ohio,22.0,OH,1345.0,1.6356877323420074
Oklahoma,7.0,OK,1345.0,0.5204460966542751
Oregon,6.0,OR,1345.0,0.44609665427509293
Pennsylvania,12.0,PA,1345.0,0.8921933085501859
Rhode Island,,RI,1345.0,
South Carolina,16.0,SC,1345.0,1.1895910780669146
South Dakota,,SD,1345.0,
Tennessee,55.0,TN,1345.0,4.089219330855019
Texas,87.0,TX,1345.0,6.4684014869888475
Utah,2.0,UT,1345.0,0.14869888475836432
Vermont,,VT,1345.0,
Virginia,7.0,VA,1345.0,0.5204460966542751
West Virginia,3.0,WV,1345.0,0.22304832713754646
Wisconsin,22.0,WI,1345.0,1.6356877323420074
Wyoming,2.0,WY,1345.0,0.14869888475836432
