ISO 2,count,code,flux_num,flux_percentage
Alabama,1.0,AL,695.0,0.14388489208633093
Arizona,6.0,AZ,695.0,0.8633093525179856
Arkansas,2.0,AR,695.0,0.28776978417266186
California,18.0,CA,695.0,2.5899280575539567
Colorado,34.0,CO,695.0,4.892086330935252
Connecticut,,CT,695.0,
Delaware,,DE,695.0,
District of Columbia,10.0,DC,695.0,1.4388489208633095
Florida,9.0,FL,695.0,1.2949640287769784
Georgia,,GA,695.0,
Idaho,8.0,ID,695.0,1.1510791366906474
Illinois,38.0,IL,695.0,5.467625899280575
Indiana,3.0,IN,695.0,0.4316546762589928
Iowa,18.0,IA,695.0,2.5899280575539567
Kansas,5.0,KS,695.0,0.7194244604316548
Kentucky,5.0,KY,695.0,0.7194244604316548
Louisiana,2.0,LA,695.0,0.28776978417266186
Maine,,ME,695.0,
Maryland,3.0,MD,695.0,0.4316546762589928
Massachusetts,4.0,MA,695.0,0.5755395683453237
Michigan,3.0,MI,695.0,0.4316546762589928
Minnesota,3.0,MN,695.0,0.4316546762589928
Mississippi,1.0,MS,695.0,0.14388489208633093
Missouri,3.0,MO,695.0,0.4316546762589928
Montana,404.0,MT,695.0,58.1294964028777
Nebraska,11.0,NE,695.0,1.5827338129496402
Nevada,1.0,NV,695.0,0.14388489208633093
New Hampshire,,NH,695.0,
New Jersey,,NJ,695.0,
New Mexico,2.0,NM,695.0,0.28776978417266186
New York,14.0,NY,695.0,2.014388489208633
North Carolina,7.0,NC,695.0,1.0071942446043165
North Dakota,3.0,ND,695.0,0.4316546762589928
Ohio,7.0,OH,695.0,1.0071942446043165
Oklahoma,3.0,OK,695.0,0.4316546762589928
Oregon,6.0,OR,695.0,0.8633093525179856
Pennsylvania,2.0,PA,695.0,0.28776978417266186
Rhode Island,,RI,695.0,
South Carolina,2.0,SC,695.0,0.28776978417266186
South Dakota,2.0,SD,695.0,0.28776978417266186
Tennessee,,TN,695.0,
Texas,42.0,TX,695.0,6.043165467625899
Utah,1.0,UT,695.0,0.14388489208633093
Vermont,1.0,VT,695.0,0.14388489208633093
Virginia,1.0,VA,695.0,0.14388489208633093
West Virginia,,WV,695.0,
Wisconsin,5.0,WI,695.0,0.7194244604316548
Wyoming,5.0,WY,695.0,0.7194244604316548
