ISO 2,count,code,flux_num,flux_percentage
Alabama,,AL,381.0,
Arizona,2.0,AZ,381.0,0.5249343832020997
Arkansas,1.0,AR,381.0,0.26246719160104987
California,7.0,CA,381.0,1.837270341207349
Colorado,5.0,CO,381.0,1.3123359580052494
Connecticut,,CT,381.0,
Delaware,,DE,381.0,
District of Columbia,2.0,DC,381.0,0.5249343832020997
Florida,5.0,FL,381.0,1.3123359580052494
Georgia,,GA,381.0,
Idaho,,ID,381.0,
Illinois,12.0,IL,381.0,3.149606299212598
Indiana,5.0,IN,381.0,1.3123359580052494
Iowa,1.0,IA,381.0,0.26246719160104987
Kansas,14.0,KS,381.0,3.674540682414698
Kentucky,3.0,KY,381.0,0.7874015748031495
Louisiana,,LA,381.0,
Maine,,ME,381.0,
Maryland,,MD,381.0,
Massachusetts,1.0,MA,381.0,0.26246719160104987
Michigan,6.0,MI,381.0,1.574803149606299
Minnesota,19.0,MN,381.0,4.986876640419948
Mississippi,,MS,381.0,
Missouri,3.0,MO,381.0,0.7874015748031495
Montana,3.0,MT,381.0,0.7874015748031495
Nebraska,2.0,NE,381.0,0.5249343832020997
Nevada,1.0,NV,381.0,0.26246719160104987
New Hampshire,,NH,381.0,
New Jersey,,NJ,381.0,
New Mexico,,NM,381.0,
New York,5.0,NY,381.0,1.3123359580052494
North Carolina,2.0,NC,381.0,0.5249343832020997
North Dakota,227.0,ND,381.0,59.580052493438316
Ohio,5.0,OH,381.0,1.3123359580052494
Oklahoma,2.0,OK,381.0,0.5249343832020997
Oregon,3.0,OR,381.0,0.7874015748031495
Pennsylvania,6.0,PA,381.0,1.574803149606299
Rhode Island,,RI,381.0,
South Carolina,,SC,381.0,
South Dakota,1.0,SD,381.0,0.26246719160104987
Tennessee,2.0,TN,381.0,0.5249343832020997
Texas,18.0,TX,381.0,4.724409448818897
Utah,,UT,381.0,
Vermont,2.0,VT,381.0,0.5249343832020997
Virginia,11.0,VA,381.0,2.8871391076115485
West Virginia,,WV,381.0,
Wisconsin,5.0,WI,381.0,1.3123359580052494
Wyoming,,WY,381.0,
