ISO 2,count,code,flux_num,flux_percentage
Alabama,9.0,AL,1438.0,0.6258692628650904
Arizona,13.0,AZ,1438.0,0.9040333796940195
Arkansas,6.0,AR,1438.0,0.4172461752433936
California,23.0,CA,1438.0,1.5994436717663423
Colorado,26.0,CO,1438.0,1.808066759388039
Connecticut,1.0,CT,1438.0,0.06954102920723226
Delaware,1.0,DE,1438.0,0.06954102920723226
District of Columbia,12.0,DC,1438.0,0.8344923504867872
Florida,20.0,FL,1438.0,1.3908205841446455
Georgia,13.0,GA,1438.0,0.9040333796940195
Idaho,,ID,1438.0,
Illinois,54.0,IL,1438.0,3.7552155771905427
Indiana,5.0,IN,1438.0,0.34770514603616137
Iowa,44.0,IA,1438.0,3.05980528511822
Kansas,48.0,KS,1438.0,3.3379694019471486
Kentucky,22.0,KY,1438.0,1.52990264255911
Louisiana,4.0,LA,1438.0,0.27816411682892905
Maine,2.0,ME,1438.0,0.13908205841446453
Maryland,4.0,MD,1438.0,0.27816411682892905
Massachusetts,6.0,MA,1438.0,0.4172461752433936
Michigan,18.0,MI,1438.0,1.2517385257301807
Minnesota,7.0,MN,1438.0,0.48678720445062584
Mississippi,4.0,MS,1438.0,0.27816411682892905
Missouri,15.0,MO,1438.0,1.043115438108484
Montana,,MT,1438.0,
Nebraska,848.0,NE,1438.0,58.97079276773296
Nevada,9.0,NV,1438.0,0.6258692628650904
New Hampshire,,NH,1438.0,
New Jersey,4.0,NJ,1438.0,0.27816411682892905
New Mexico,1.0,NM,1438.0,0.06954102920723226
New York,21.0,NY,1438.0,1.4603616133518775
North Carolina,16.0,NC,1438.0,1.1126564673157162
North Dakota,1.0,ND,1438.0,0.06954102920723226
Ohio,20.0,OH,1438.0,1.3908205841446455
Oklahoma,12.0,OK,1438.0,0.8344923504867872
Oregon,3.0,OR,1438.0,0.2086230876216968
Pennsylvania,17.0,PA,1438.0,1.1821974965229485
Rhode Island,1.0,RI,1438.0,0.06954102920723226
South Carolina,2.0,SC,1438.0,0.13908205841446453
South Dakota,6.0,SD,1438.0,0.4172461752433936
Tennessee,9.0,TN,1438.0,0.6258692628650904
Texas,70.0,TX,1438.0,4.867872044506258
Utah,3.0,UT,1438.0,0.2086230876216968
Vermont,3.0,VT,1438.0,0.2086230876216968
Virginia,6.0,VA,1438.0,0.4172461752433936
West Virginia,,WV,1438.0,
Wisconsin,20.0,WI,1438.0,1.3908205841446455
Wyoming,9.0,WY,1438.0,0.6258692628650904
