ISO 2,count,code,flux_num,flux_percentage
Alabama,5.0,AL,597.0,0.8375209380234505
Arizona,5.0,AZ,597.0,0.8375209380234505
Arkansas,,AR,597.0,
California,15.0,CA,597.0,2.512562814070352
Colorado,9.0,CO,597.0,1.507537688442211
Connecticut,2.0,CT,597.0,0.33500837520938026
Delaware,,DE,597.0,
District of Columbia,10.0,DC,597.0,1.675041876046901
Florida,30.0,FL,597.0,5.025125628140704
Georgia,6.0,GA,597.0,1.0050251256281406
Idaho,1.0,ID,597.0,0.16750418760469013
Illinois,23.0,IL,597.0,3.8525963149078724
Indiana,4.0,IN,597.0,0.6700167504187605
Iowa,2.0,IA,597.0,0.33500837520938026
Kansas,,KS,597.0,
Kentucky,1.0,KY,597.0,0.16750418760469013
Louisiana,,LA,597.0,
Maine,24.0,ME,597.0,4.0201005025125625
Maryland,1.0,MD,597.0,0.16750418760469013
Massachusetts,47.0,MA,597.0,7.872696817420436
Michigan,8.0,MI,597.0,1.340033500837521
Minnesota,4.0,MN,597.0,0.6700167504187605
Mississippi,3.0,MS,597.0,0.5025125628140703
Missouri,,MO,597.0,
Montana,,MT,597.0,
Nebraska,3.0,NE,597.0,0.5025125628140703
Nevada,1.0,NV,597.0,0.16750418760469013
New Hampshire,261.0,NH,597.0,43.71859296482412
New Jersey,1.0,NJ,597.0,0.16750418760469013
New Mexico,1.0,NM,597.0,0.16750418760469013
New York,35.0,NY,597.0,5.8626465661641545
North Carolina,15.0,NC,597.0,2.512562814070352
North Dakota,1.0,ND,597.0,0.16750418760469013
Ohio,7.0,OH,597.0,1.1725293132328307
Oklahoma,,OK,597.0,
Oregon,14.0,OR,597.0,2.3450586264656614
Pennsylvania,13.0,PA,597.0,2.1775544388609713
Rhode Island,2.0,RI,597.0,0.33500837520938026
South Carolina,2.0,SC,597.0,0.33500837520938026
South Dakota,,SD,597.0,
Tennessee,3.0,TN,597.0,0.5025125628140703
Texas,15.0,TX,597.0,2.512562814070352
Utah,1.0,UT,597.0,0.16750418760469013
Vermont,8.0,VT,597.0,1.340033500837521
Virginia,11.0,VA,597.0,1.8425460636515913
West Virginia,,WV,597.0,
Wisconsin,3.0,WI,597.0,0.5025125628140703
Wyoming,,WY,597.0,
