ISO 2,count,code,flux_num,flux_percentage
Alabama,1.0,AL,795.0,0.12578616352201258
Arizona,5.0,AZ,795.0,0.628930817610063
Arkansas,1.0,AR,795.0,0.12578616352201258
California,18.0,CA,795.0,2.2641509433962264
Colorado,1.0,CO,795.0,0.12578616352201258
Connecticut,16.0,CT,795.0,2.0125786163522013
Delaware,1.0,DE,795.0,0.12578616352201258
District of Columbia,12.0,DC,795.0,1.509433962264151
Florida,22.0,FL,795.0,2.767295597484277
Georgia,5.0,GA,795.0,0.628930817610063
Idaho,1.0,ID,795.0,0.12578616352201258
Illinois,3.0,IL,795.0,0.37735849056603776
Indiana,1.0,IN,795.0,0.12578616352201258
Iowa,3.0,IA,795.0,0.37735849056603776
Kansas,5.0,KS,795.0,0.628930817610063
Kentucky,1.0,KY,795.0,0.12578616352201258
Louisiana,,LA,795.0,
Maine,2.0,ME,795.0,0.25157232704402516
Maryland,3.0,MD,795.0,0.37735849056603776
Massachusetts,24.0,MA,795.0,3.018867924528302
Michigan,5.0,MI,795.0,0.628930817610063
Minnesota,,MN,795.0,
Mississippi,,MS,795.0,
Missouri,,MO,795.0,
Montana,,MT,795.0,
Nebraska,6.0,NE,795.0,0.7547169811320755
Nevada,1.0,NV,795.0,0.12578616352201258
New Hampshire,,NH,795.0,
New Jersey,1.0,NJ,795.0,0.12578616352201258
New Mexico,,NM,795.0,
New York,46.0,NY,795.0,5.786163522012579
North Carolina,5.0,NC,795.0,0.628930817610063
North Dakota,,ND,795.0,
Ohio,6.0,OH,795.0,0.7547169811320755
Oklahoma,2.0,OK,795.0,0.25157232704402516
Oregon,3.0,OR,795.0,0.37735849056603776
Pennsylvania,20.0,PA,795.0,2.515723270440252
Rhode Island,531.0,RI,795.0,66.79245283018868
South Carolina,,SC,795.0,
South Dakota,,SD,795.0,
Tennessee,,TN,795.0,
Texas,31.0,TX,795.0,3.89937106918239
Utah,3.0,UT,795.0,0.37735849056603776
Vermont,,VT,795.0,
Virginia,9.0,VA,795.0,1.1320754716981132
West Virginia,,WV,795.0,
Wisconsin,1.0,WI,795.0,0.12578616352201258
Wyoming,,WY,795.0,
