ISO 2,count,code,flux_num,flux_percentage
Alabama,2.0,AL,523.0,0.3824091778202677
Arizona,3.0,AZ,523.0,0.5736137667304015
Arkansas,2.0,AR,523.0,0.3824091778202677
California,13.0,CA,523.0,2.48565965583174
Colorado,12.0,CO,523.0,2.294455066921606
Connecticut,,CT,523.0,
Delaware,,DE,523.0,
District of Columbia,8.0,DC,523.0,1.5296367112810707
Florida,8.0,FL,523.0,1.5296367112810707
Georgia,6.0,GA,523.0,1.147227533460803
Idaho,,ID,523.0,
Illinois,8.0,IL,523.0,1.5296367112810707
Indiana,7.0,IN,523.0,1.338432122370937
Iowa,16.0,IA,523.0,3.0592734225621414
Kansas,28.0,KS,523.0,5.353728489483748
Kentucky,3.0,KY,523.0,0.5736137667304015
Louisiana,,LA,523.0,
Maine,,ME,523.0,
Maryland,1.0,MD,523.0,0.19120458891013384
Massachusetts,1.0,MA,523.0,0.19120458891013384
Michigan,3.0,MI,523.0,0.5736137667304015
Minnesota,40.0,MN,523.0,7.648183556405354
Mississippi,,MS,523.0,
Missouri,2.0,MO,523.0,0.3824091778202677
Montana,8.0,MT,523.0,1.5296367112810707
Nebraska,3.0,NE,523.0,0.5736137667304015
Nevada,1.0,NV,523.0,0.19120458891013384
New Hampshire,1.0,NH,523.0,0.19120458891013384
New Jersey,1.0,NJ,523.0,0.19120458891013384
New Mexico,1.0,NM,523.0,0.19120458891013384
New York,3.0,NY,523.0,0.5736137667304015
North Carolina,1.0,NC,523.0,0.19120458891013384
North Dakota,5.0,ND,523.0,0.9560229445506693
Ohio,7.0,OH,523.0,1.338432122370937
Oklahoma,,OK,523.0,
Oregon,1.0,OR,523.0,0.19120458891013384
Pennsylvania,10.0,PA,523.0,1.9120458891013385
Rhode Island,,RI,523.0,
South Carolina,,SC,523.0,
South Dakota,258.0,SD,523.0,49.330783938814534
Tennessee,,TN,523.0,
Texas,44.0,TX,523.0,8.413001912045889
Utah,2.0,UT,523.0,0.3824091778202677
Vermont,,VT,523.0,
Virginia,1.0,VA,523.0,0.19120458891013384
West Virginia,,WV,523.0,
Wisconsin,13.0,WI,523.0,2.48565965583174
Wyoming,,WY,523.0,
