ISO 2,count,code,flux_num,flux_percentage
Alabama,2.0,AL,503.0,0.3976143141153081
Arizona,,AZ,503.0,
Arkansas,1.0,AR,503.0,0.19880715705765406
California,10.0,CA,503.0,1.9880715705765408
Colorado,,CO,503.0,
Connecticut,6.0,CT,503.0,1.1928429423459244
Delaware,1.0,DE,503.0,0.19880715705765406
District of Columbia,4.0,DC,503.0,0.7952286282306162
Florida,10.0,FL,503.0,1.9880715705765408
Georgia,,GA,503.0,
Idaho,1.0,ID,503.0,0.19880715705765406
Illinois,1.0,IL,503.0,0.19880715705765406
Indiana,,IN,503.0,
Iowa,,IA,503.0,
Kansas,2.0,KS,503.0,0.3976143141153081
Kentucky,1.0,KY,503.0,0.19880715705765406
Louisiana,1.0,LA,503.0,0.19880715705765406
Maine,1.0,ME,503.0,0.19880715705765406
Maryland,2.0,MD,503.0,0.3976143141153081
Massachusetts,7.0,MA,503.0,1.3916500994035785
Michigan,6.0,MI,503.0,1.1928429423459244
Minnesota,1.0,MN,503.0,0.19880715705765406
Mississippi,4.0,MS,503.0,0.7952286282306162
Missouri,1.0,MO,503.0,0.19880715705765406
Montana,,MT,503.0,
Nebraska,,NE,503.0,
Nevada,,NV,503.0,
New Hampshire,1.0,NH,503.0,0.19880715705765406
New Jersey,3.0,NJ,503.0,0.5964214711729622
New Mexico,,NM,503.0,
New York,32.0,NY,503.0,6.36182902584493
North Carolina,7.0,NC,503.0,1.3916500994035785
North Dakota,1.0,ND,503.0,0.19880715705765406
Ohio,,OH,503.0,
Oklahoma,,OK,503.0,
Oregon,,OR,503.0,
Pennsylvania,2.0,PA,503.0,0.3976143141153081
Rhode Island,,RI,503.0,
South Carolina,,SC,503.0,
South Dakota,,SD,503.0,
Tennessee,1.0,TN,503.0,0.19880715705765406
Texas,29.0,TX,503.0,5.7654075546719685
Utah,3.0,UT,503.0,0.5964214711729622
Vermont,361.0,VT,503.0,71.76938369781311
Virginia,1.0,VA,503.0,0.19880715705765406
West Virginia,,WV,503.0,
Wisconsin,,WI,503.0,
Wyoming,,WY,503.0,
