ISO 2,count,code,flux_num,flux_percentage
Alabama,2.0,AL,3233.0,0.06186204763377668
Arizona,19.0,AZ,3233.0,0.5876894525208785
Arkansas,1.0,AR,3233.0,0.03093102381688834
California,56.0,CA,3233.0,1.7321373337457469
Colorado,14.0,CO,3233.0,0.4330343334364367
Connecticut,13.0,CT,3233.0,0.40210330961954843
Delaware,4.0,DE,3233.0,0.12372409526755336
District of Columbia,31.0,DC,3233.0,0.9588617383235385
Florida,61.0,FL,3233.0,1.8867924528301887
Georgia,15.0,GA,3233.0,0.46396535725332505
Idaho,2.0,ID,3233.0,0.06186204763377668
Illinois,144.0,IL,3233.0,4.4540674296319205
Indiana,22.0,IN,3233.0,0.6804825239715434
Iowa,26.0,IA,3233.0,0.8042066192390969
Kansas,21.0,KS,3233.0,0.6495515001546551
Kentucky,12.0,KY,3233.0,0.37117228580266004
Louisiana,3.0,LA,3233.0,0.09279307145066501
Maine,10.0,ME,3233.0,0.3093102381688834
Maryland,5.0,MD,3233.0,0.1546551190844417
Massachusetts,12.0,MA,3233.0,0.37117228580266004
Michigan,41.0,MI,3233.0,1.268171976492422
Minnesota,44.0,MN,3233.0,1.3609650479430868
Mississippi,2.0,MS,3233.0,0.06186204763377668
Missouri,6.0,MO,3233.0,0.18558614290133002
Montana,,MT,3233.0,
Nebraska,13.0,NE,3233.0,0.40210330961954843
Nevada,3.0,NV,3233.0,0.09279307145066501
New Hampshire,,NH,3233.0,
New Jersey,4.0,NJ,3233.0,0.12372409526755336
New Mexico,1.0,NM,3233.0,0.03093102381688834
New York,65.0,NY,3233.0,2.010516548097742
North Carolina,12.0,NC,3233.0,0.37117228580266004
North Dakota,1.0,ND,3233.0,0.03093102381688834
Ohio,36.0,OH,3233.0,1.1135168574079801
Oklahoma,5.0,OK,3233.0,0.1546551190844417
Oregon,24.0,OR,3233.0,0.7423445716053201
Pennsylvania,35.0,PA,3233.0,1.0825858335910918
Rhode Island,1.0,RI,3233.0,0.03093102381688834
South Carolina,5.0,SC,3233.0,0.1546551190844417
South Dakota,2.0,SD,3233.0,0.06186204763377668
Tennessee,17.0,TN,3233.0,0.5258274048871018
Texas,111.0,TX,3233.0,3.433343643674606
Utah,2.0,UT,3233.0,0.06186204763377668
Vermont,2.0,VT,3233.0,0.06186204763377668
Virginia,9.0,VA,3233.0,0.27837921435199503
West Virginia,3.0,WV,3233.0,0.09279307145066501
Wisconsin,2316.0,WI,3233.0,71.63625115991339
Wyoming,,WY,3233.0,
