ISO 2,count,code,flux_num,flux_percentage
Alabama,,AL,545.0,
Arizona,1.0,AZ,545.0,0.1834862385321101
Arkansas,1.0,AR,545.0,0.1834862385321101
California,5.0,CA,545.0,0.9174311926605505
Colorado,5.0,CO,545.0,0.9174311926605505
Connecticut,4.0,CT,545.0,0.7339449541284404
Delaware,,DE,545.0,
District of Columbia,3.0,DC,545.0,0.5504587155963303
Florida,11.0,FL,545.0,2.0183486238532113
Georgia,2.0,GA,545.0,0.3669724770642202
Idaho,,ID,545.0,
Illinois,27.0,IL,545.0,4.954128440366973
Indiana,1.0,IN,545.0,0.1834862385321101
Iowa,2.0,IA,545.0,0.3669724770642202
Kansas,6.0,KS,545.0,1.1009174311926606
Kentucky,13.0,KY,545.0,2.385321100917431
Louisiana,2.0,LA,545.0,0.3669724770642202
Maine,1.0,ME,545.0,0.1834862385321101
Maryland,4.0,MD,545.0,0.7339449541284404
Massachusetts,1.0,MA,545.0,0.1834862385321101
Michigan,3.0,MI,545.0,0.5504587155963303
Minnesota,,MN,545.0,
Mississippi,,MS,545.0,
Missouri,1.0,MO,545.0,0.1834862385321101
Montana,1.0,MT,545.0,0.1834862385321101
Nebraska,1.0,NE,545.0,0.1834862385321101
Nevada,1.0,NV,545.0,0.1834862385321101
New Hampshire,1.0,NH,545.0,0.1834862385321101
New Jersey,9.0,NJ,545.0,1.651376146788991
New Mexico,2.0,NM,545.0,0.3669724770642202
New York,9.0,NY,545.0,1.651376146788991
North Carolina,8.0,NC,545.0,1.4678899082568808
North Dakota,2.0,ND,545.0,0.3669724770642202
Ohio,26.0,OH,545.0,4.770642201834862
Oklahoma,2.0,OK,545.0,0.3669724770642202
Oregon,4.0,OR,545.0,0.7339449541284404
Pennsylvania,15.0,PA,545.0,2.7522935779816518
Rhode Island,,RI,545.0,
South Carolina,45.0,SC,545.0,8.256880733944955
South Dakota,,SD,545.0,
Tennessee,8.0,TN,545.0,1.4678899082568808
Texas,29.0,TX,545.0,5.321100917431193
Utah,1.0,UT,545.0,0.1834862385321101
Vermont,,VT,545.0,
Virginia,12.0,VA,545.0,2.2018348623853212
West Virginia,276.0,WV,545.0,50.64220183486239
Wisconsin,,WI,545.0,
Wyoming,,WY,545.0,
