ISO 2,count,code,flux_num,flux_percentage
Alabama,,AL,402.0,
Arizona,4.0,AZ,402.0,0.9950248756218906
Arkansas,2.0,AR,402.0,0.4975124378109453
California,6.0,CA,402.0,1.4925373134328357
Colorado,19.0,CO,402.0,4.72636815920398
Connecticut,1.0,CT,402.0,0.24875621890547264
Delaware,,DE,402.0,
District of Columbia,,DC,402.0,
Florida,7.0,FL,402.0,1.7412935323383085
Georgia,1.0,GA,402.0,0.24875621890547264
Idaho,2.0,ID,402.0,0.4975124378109453
Illinois,5.0,IL,402.0,1.2437810945273633
Indiana,3.0,IN,402.0,0.7462686567164178
Iowa,3.0,IA,402.0,0.7462686567164178
Kansas,35.0,KS,402.0,8.706467661691542
Kentucky,9.0,KY,402.0,2.2388059701492535
Louisiana,1.0,LA,402.0,0.24875621890547264
Maine,,ME,402.0,
Maryland,1.0,MD,402.0,0.24875621890547264
Massachusetts,1.0,MA,402.0,0.24875621890547264
Michigan,2.0,MI,402.0,0.4975124378109453
Minnesota,3.0,MN,402.0,0.7462686567164178
Mississippi,12.0,MS,402.0,2.9850746268656714
Missouri,20.0,MO,402.0,4.975124378109453
Montana,15.0,MT,402.0,3.731343283582089
Nebraska,,NE,402.0,
Nevada,2.0,NV,402.0,0.4975124378109453
New Hampshire,,NH,402.0,
New Jersey,1.0,NJ,402.0,0.24875621890547264
New Mexico,,NM,402.0,
New York,21.0,NY,402.0,5.223880597014925
North Carolina,1.0,NC,402.0,0.24875621890547264
North Dakota,1.0,ND,402.0,0.24875621890547264
Ohio,7.0,OH,402.0,1.7412935323383085
Oklahoma,2.0,OK,402.0,0.4975124378109453
Oregon,,OR,402.0,
Pennsylvania,8.0,PA,402.0,1.9900497512437811
Rhode Island,1.0,RI,402.0,0.24875621890547264
South Carolina,2.0,SC,402.0,0.4975124378109453
South Dakota,,SD,402.0,
Tennessee,3.0,TN,402.0,0.7462686567164178
Texas,25.0,TX,402.0,6.218905472636816
Utah,,UT,402.0,
Vermont,,VT,402.0,
Virginia,,VA,402.0,
West Virginia,,WV,402.0,
Wisconsin,1.0,WI,402.0,0.24875621890547264
Wyoming,175.0,WY,402.0,43.53233830845771
