lat_lon,AL,AZ,AR,CA,CO,CT,DE,DC,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WV,WI,WY
0,"(32.79354, -86.82676)","(34.29323, -111.66457)","(34.89977, -92.4392)","(37.24537, -119.60818)","(38.99855, -105.54783)","(41.62196, -72.72623)","(38.99559, -75.50592)","(38.90932, -77.01464)","(28.67402, -82.50934)","(32.65155, -83.44848)","(44.38907, -114.65933)","(40.06501, -89.19838)","(39.90801, -86.27548)","(42.07463, -93.50003)","(38.48471, -98.38019)","(37.52668, -85.29046)","(31.0891, -92.02905)","(45.38046, -69.22999)","(39.04533, -76.78588)","(42.25788, -71.81423)","(44.34717, -85.43675)","(46.31189, -94.31357)","(32.75201, -89.66553)","(38.3208, -92.38554)","(47.0335, -109.64507)","(41.52709, -99.81058)","(39.35648, -116.65539)","(43.68556, -71.57754)","(40.20049, -74.66876)","(34.42137, -106.10837)","(42.94796, -75.51491)","(35.54369, -79.37865)","(47.44626, -100.46935)","(40.2912, -82.79002)","(35.58345, -97.50819)","(43.93589, -120.55232)","(40.87368, -77.7993)","(41.67544, -71.55579)","(33.93574, -80.89899)","(44.43614, -100.23048)","(35.84299, -86.34332)","(31.49422, -99.35939)","(39.32379, -111.67822)","(44.07511, -72.66273)","(37.51637, -78.82957)","(38.64259, -80.61372)","(44.63725, -90.01144)","(42.99963, -107.55144)"
"(32.79354, -86.82676)",0,2307.10677815513,569.431806054759,3016.94851245028,1820.63733484344,1585.98270359564,1230.62137253559,1115.13395893249,615.931866948,317.073226408181,2726.27442329582,834.354459301853,791.008058684371,1186.42921120521,1220.72904935593,543.421483248919,526.8722521145,2058.01281300675,1140.02142329642,1688.05997361453,1288.1988154093,1631.15181412516,266.002001583255,793.421901895345,2494.87909566038,1503.46463459045,2769.81636936386,1795.70065954149,1362.41803460953,1795.83185353496,1500.79657471834,751.155444589654,1993.42840485481,906.853185840124,1031.45426777313,3168.57114976496,1203.82294887749,1671.5033764061,565.944394429335,1736.95898808768,341.182338117303,1190.42111497613,2344.50919981766,1755.0915734558,896.920887108653,858.141469671439,1343.33812331901,2137.16702633068
"(34.29323, -111.66457)",2307.10677815513,0,1762.19888536983,789.1003935242,755.829973201542,3485.99040783482,3253.56566002873,3123.15240287889,2829.07688738753,2620.67443814924,1149.98594348373,2088.67877586362,2332.45350612351,1805.39203873706,1277.86691791135,2399.5173643492,1872.21020693534,3785.15365074939,3142.60316621617,3562.56802582205,2507.09126853951,1981.09116885409,2046.81596794885,1784.55312542355,1424.91603417844,1313.70038333076,716.648977955851,3587.46581858772,3322.27828878,511.282748159302,3263.17223223516,2940.3213679031,1735.01561464047,2632.53089445868,1300.03193618222,1316.13177818618,3058.55191858272,3583.5151277431,2827.78977688462,1493.35392372647,2309.56485271289,1191.56615451519,558.264023994399,3503.31098517403,2970.43574608584,2810.74826832034,2178.44315087472,1030.32845955541
"(34.89977, -92.4392)",569.431806054759,1762.19888536983,0,2452.751001787,1251.58486367759,1874.10157723301,1572.55303458673,1442.75005632099,1165.56778564562,868.943688242889,2168.75281953244,640.813854298003,778.555855311365,801.792476268134,663.196642255061,705.552240083206,424.353942023078,2282.4509461611,1465.51559496178,1967.36960075361,1207.90565366452,1277.06559594585,350.227807500899,379.663571532545,1970.02102371755,977.939872568604,2200.81828326072,2038.81364594774,1673.23593947441,1253.11529839717,1713.35854470332,1190.31951891647,1545.72652775078,1040.23587803117,467.51175830977,2604.34688789636,1445.86481954582,1969.34784138354,1065.66710906958,1250.82947557984,563.652063669051,747.398629701852,1775.13315738955,1975.29550909639,1256.58109555566,1133.42258329557,1100.84098481008,1585.04253230374
"(37.24537, -119.60818)",3016.94851245028,789.1003935242,2452.751001787,0,1246.86621471062,4015.65712573352,3834.10599486746,3707.5939873652,3571.54695119076,3321.694096723,896.04032540243,2652.46012097784,2902.70343612484,2294.00647017052,1868.82778464184,3022.21165945923,2622.56047533243,4242.21476822378,3724.2466463616,4079.67866289371,2966.008289799,2317.93434789432,2766.57800003562,2392.35865676499,1361.60550576978,1766.16458716951,348.710865797308,4077.65753036875,3880.09400399306,1258.10470294969,3768.89505474925,3586.81197304687,1933.26043512867,3194.53400136591,1986.16655036503,747.227907356461,3606.61811488412,4110.95942091103,3502.90943139959,1812.77574327677,2967.28793789527,1964.03536300039,730.854781078684,3986.27950048281,3582.75325675731,3405.18127356856,2607.19505399928,1208.32972257813
"(38.99855, -105.54783)",1820.63733484344,755.829973201542,1251.58486367759,1246.86621471062,0,2788.27283515318,2590.54182808935,2463.10564918461,2410.5524002003,2110.97213384532,965.301605328368,1408.61401454392,1658.63592132913,1075.22217013812,625.599197869086,1776.71191995012,1510.97588501846,3054.87023969592,2480.26571400155,2858.03625174707,1771.41782213823,1226.04929372904,1589.87142967829,1147.10809956379,952.712387220068,562.859746433731,960.016063676481,2869.71852787488,2642.19487063513,510.400268262915,2551.55927559656,2344.17751654933,1024.6355173578,1953.2869934578,806.93343780473,1365.51231999038,2370.91642784237,2884.82506810662,2271.81687274369,748.320103983742,1732.18180372323,1004.57481877175,530.972910101014,2782.07846697809,2335.89011034871,2158.96160762965,1431.5847850803,475.198108743675
"(41.62196, -72.72623)",1585.98270359564,3485.99040783482,1874.10157723301,4015.65712573352,2788.27283515318,0,375.300452982715,472.957392513777,1687.95438460044,1375.75683710769,3395.27229645088,1397.70200453573,1158.47271212217,1721.69214649119,2208.12370315449,1169.92766120142,2082.19975832067,504.188917287378,448.089307416505,103.48333331688,1078.7002533319,1802.55414911421,1792.46907130815,1714.96693736438,2976.53548776713,2249.50187550159,3692.49290658074,247.826062415292,227.367708959391,3017.38531882147,273.105112879166,888.925822045607,2284.28024364632,859.54327207335,2251.28786800208,3867.12162163951,433.196409054328,97.6833739310804,1115.19835929413,2252.51612376523,1344.39597248307,2621.4320474283,3284.95281302782,272.569342357786,694.522404741973,748.822602181138,1442.8174780109,2854.67904739173
"(38.99559, -75.50592)",1230.62137253559,3253.56566002873,1572.55303458673,3834.10599486746,2590.54182808935,375.300452982715,0,131.131086829187,1314.58727315856,1004.47999844225,3281.76737818885,1182.01170621344,931.906536651882,1559.22634944613,1984.31544054537,871.269646946891,1740.13386848545,877.876533873597,110.982924461743,478.224401116066,1017.23909834593,1737.10252218345,1451.89683438963,1469.03248413518,2896.36048957274,2079.55089728779,3524.60767466296,615.793443424706,151.874696821271,2767.52210238871,438.92488913309,514.4343789999,2221.97155922278,641.368220563694,1982.28427072585,3755.67338529946,286.179845234628,448.479610114595,740.580053134092,2135.06452702455,1020.33719703183,2316.51464220752,3105.45283940416,611.911486250662,334.012365137423,445.262841213269,1355.65463251586,2715.72633495401
"(38.90932, -77.01464)",1115.13395893249,3123.15240287889,1442.75005632099,3707.5939873652,2463.10564918461,472.957392513777,131.131086829187,0,1243.44744424057,905.258010064465,3165.48851239677,1055.13389946799,804.890596824953,1438.5865095476,1855.03216808528,740.515301939792,1618.83039320087,963.814037453367,24.91855333973,576.090804821033,925.033595511393,1635.25268616809,1329.78874902399,1338.71829421204,2787.04437179718,1956.22436738289,3399.87396882406,698.775617148762,247.37145879143,2636.54811019072,465.926359362238,428.367791216011,2118.40954150204,519.11435374861,1851.15688447135,3639.21057601171,228.196343824734,556.402534899389,652.478054757372,2020.34517895887,893.030672108924,2187.4904752533,2979.6116978798,678.901330967711,221.736000304886,314.133822219179,1251.76881243868,2595.97652046644
"(28.67402, -82.50934)",615.931866948,2829.07688738753,1165.56778564562,3571.54695119076,2410.5524002003,1687.95438460044,1314.58727315856,1243.44744424057,0,450.048921650412,3333.76256000992,1404.32415657628,1293.15277904806,1787.59450954254,1827.13360773369,1015.41363600869,957.402689537996,2191.93603198251,1265.71748232687,1789.34671715098,1758.59075598946,2212.81860687414,820.80487815874,1407.77828581768,3110.77274322623,2118.84025567368,3345.01686419443,1930.36046933275,1466.20027957369,2323.52068569338,1703.68317266158,816.927850987118,2599.01156638024,1288.97892399069,1606.72507164555,3769.16937941333,1419.80220489537,1750.59112560488,603.170727723844,2350.9824986534,872.994426245615,1652.45855165732,2925.38941201705,1920.52354228312,1038.84033074622,1119.49786187728,1892.11629528721,2747.47695806363
