,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Wisconsin,Wyoming
Alabama,0,1202,1536,8012,3329,868,694,85,18236,23155,294,4328,1693,363,1403,2892,5461,141,1517,599,1033,322,5736,1421,150,102,188,855,1207,536,3827,3320,712,2223,785,752,3330,158,6298,259,11634,10102,577,194,3654,268,203,0
Arizona,727,0,1147,74157,12232,339,970,152,4471,3046,2628,10623,3759,3228,1240,2143,734,647,1955,3143,7449,3927,600,7362,4455,1972,8890,314,3626,6263,5071,3300,2086,5280,3096,12093,4273,280,2398,2850,4357,17404,10597,182,3791,471,6569,1863
Arkansas,1911,1776,0,7783,2562,210,0,0,7065,497,1190,2383,1330,460,1184,2581,4994,74,1212,145,405,1171,3380,3905,238,270,630,62,113,1275,666,451,0,586,5995,1809,267,35,400,0,4970,17105,470,146,978,43,481,326
California,5204,27412,963,0,19970,4977,1818,4443,28557,11002,5567,24559,5422,2187,3387,3471,3954,939,7903,15540,11714,5143,880,6369,2432,3047,22183,624,13162,2585,31255,13302,291,10031,2576,23792,13544,1755,5581,572,5498,42279,13149,1206,15373,42,4407,1083
Colorado,700,7386,2557,33213,0,653,64,2679,11107,3360,4345,9281,2455,2212,3363,1413,1520,455,3033,3976,3711,4690,2175,6137,924,3759,2134,975,3928,3844,8526,6165,752,4941,4516,5785,4557,1023,1912,2244,5702,25466,4877,1316,6727,918,4080,4493
Connecticut,1005,1267,625,7097,1992,0,51,1607,7476,3478,507,3290,674,167,0,563,75,1137,2460,21256,3100,894,304,1012,40,78,1073,708,8087,60,50670,3897,0,595,1730,160,2298,3977,701,0,507,2920,347,1414,3481,0,579,0
Delaware,203,949,0,660,123,198,0,202,1339,293,0,1256,153,0,77,58,0,352,9709,384,462,18,0,768,0,0,437,0,5312,159,4603,2250,0,182,0,0,11392,0,1254,178,241,692,0,0,1990,0,15,0
District of Columbia ,419,712,21,4539,1187,1401,352,0,2932,2289,230,2548,253,49,136,79,205,79,13093,1401,1337,817,23,440,0,55,97,304,3093,453,5647,1519,0,1011,231,264,2493,679,773,137,614,2788,387,153,7496,96,417,0
Florida,14734,11901,3204,50701,20980,13620,3118,2830,0,39990,3374,35262,11790,2163,5111,8141,8497,6242,23422,20320,23781,9192,3937,10919,1302,2779,7516,6001,47000,3551,91201,24601,347,27257,2965,5221,35384,3816,14825,2714,20651,38207,4551,1575,32932,4817,10167,280
Georgia,21031,1798,531,25960,5419,2526,585,1243,51380,0,1051,11096,4937,530,1862,1941,4426,272,6706,3299,5816,1825,1986,4341,966,712,3357,886,8295,1029,16535,23175,218,5221,2077,1594,9223,118,18328,297,18785,23754,2753,0,14204,1635,2177,282
