gdp 2022,ISO 2,state,estimate baseline 2020,pop 2020,pop 2021,pop 2022,tweets per day
277817500000,AL,Alabama,5024356,5031362,5049846,5074296,7528.17212329511
458949800000,AZ,Arizona,7151507,7179943,7264877,7359197,11616.8213155641
165220600000,AR,Arkansas,3011555,3014195,3028122,3045637,3574.42570464329
3598102700000,CA,California,39538245,39501653,39142991,39029342,79041.202679632
484371500000,CO,Colorado,5773733,5784865,5811297,5839926,8397.32431051149
321844600000,CT,Connecticut,3605942,3597362,3623355,3626205,5202.09487082356
87524800000,DE,Delaware,989957,992114,1004807,1018396,1727.85065396795
162314400000,DC,District of Columbia,689546,670868,668791,671803,6536.68651682992
1389069700000,FL,Florida,21538226,21589602,21828069,22244823,43496.1885672961
755697900000,GA,Georgia,10711937,10729828,10788029,10912876,26106.7979212578
109546500000,ID,Idaho,1839092,1849202,1904314,1939033,1463.3964160191
1033310100000,IL,Illinois,12812545,12786580,12686469,12582032,20048.4935647457
455750200000,IN,Indiana,6785668,6788799,6813532,6833037,9160.07255728256
231107800000,IA,Iowa,3190372,3190571,3197689,3200517,3683.6919733111
210670500000,KS,Kansas,2937847,2937919,2937922,2937150,3918.02954039708
260304100000,KY,Kentucky,4505893,4507445,4506589,4123100,6111.94189842077
281429300000,LA,Louisiana,4657749,4651664,4627098,4590241,12203.7230502309
84497500000,ME,Maine,1362341,1363557,1377238,1385340,1422.70157563826
470187100000,MD,Maryland,6177213,6173205,6174610,6164660,12388.7787922685
688391600000,MA,Massachusetts,7029949,6995729,6989690,6981974,11185.1075501784
620695600000,MI,Michigan,10077325,10069577,10037504,10034113,12040.0725453355
446499500000,MN,Minnesota,5706504,5709852,5711471,5717184,6720.12442117656
138739700000,MS,Mississippi,2961288,2958141,2949586,2940057,4264.12235721391
389931200000,MO,Missouri,6154920,6153998,6169823,6177957,8339.33105174247
65014500000,MT,Montana,1084197,1087075,1106227,1122867,801.825249460927
161702000000,NE,Nebraska,1961489,1962642,1963554,1967923,2438.45474746817
215917800000,NV,Nevada,3104624,3115648,3146402,3177772,9002.02225977901
105414400000,NH,New Hampshire,1377518,1378587,1387505,1395231,1366.69950171968
745422200000,NJ,New Jersey,9289031,9271689,9267961,9261699,14550.4588455257
122114800000,NM,New Mexico,2117527,2118390,2116677,2113344,2431.73449859794
2053179700000,NY,New York,20201230,20108296,19857492,19677151,44236.0381882871
730072400000,NC,North Carolina,10439414,10449445,10565885,10698973,17163.2667164604
73267100000,ND,North Dakota,779091,779518,777934,779261,648.379566924015
822669700000,OH,Ohio,11799374,11797517,11764342,11756058,19199.0043279274
240534300000,OK,Oklahoma,3959346,3964912,3991225,4019800,5384.41273369183
299125500000,OR,Oregon,4237291,4244795,4256301,4240137,6809.9766375526
923088800000,PA,Pennsylvania,13002689,12994440,13012059,12972008,20811.4907096231
71402200000,RI,Rhode Island,1097371,1096345,1096985,1093734,1617.71324192808
295880500000,SC,South Carolina,5118429,5131848,5193266,5282634,7621.63336221257
67570700000,SD,South Dakota,886677,887799,896164,909824,847.871399127316
475755100000,TN,Tennessee,6910786,6925619,6968351,7051339,12066.5801936569
2355959700000,TX,Texas,29145428,29232474,29558864,30029572,63783.4998650412
248176300000,UT,Utah,3271614,3283785,3339113,3380800,3469.51515283582
40617100000,VT,Vermont,643085,642893,646972,647064,618.636243220591
649392600000,VA,Virginia,8631384,8636471,8657365,8683619,14538.3872873699
95588400000,WV,West Virginia,1793755,1791420,1785526,1775156,1188.73735571175
401791500000,WI,Wisconsin,5893725,5896271,5880101,5892539,5821.22891025676
47432500000,WY,Wyoming,576837,577605,579483,581381,499.911846513199
