ISO 2,lat,lon,lat_lon
AL,32.79354,-86.82676,"(32.79354, -86.82676)"
AK,64.24237267235,-152.25572054461,"(64.24237267235, -152.25572054461)"
AZ,34.29323,-111.66457,"(34.29323, -111.66457)"
AR,34.89977,-92.4392,"(34.89977, -92.4392)"
CA,37.24537,-119.60818,"(37.24537, -119.60818)"
CO,38.99855,-105.54783,"(38.99855, -105.54783)"
CT,41.62196,-72.72623,"(41.62196, -72.72623)"
DE,38.99559,-75.50592,"(38.99559, -75.50592)"
DC,38.90932,-77.01464,"(38.90932, -77.01464)"
FL,28.67402,-82.50934,"(28.67402, -82.50934)"
GA,32.65155,-83.44848,"(32.65155, -83.44848)"
HI,20.24923,-156.34743,"(20.24923, -156.34743)"
ID,44.38907,-114.65933,"(44.38907, -114.65933)"
IL,40.06501,-89.19838,"(40.06501, -89.19838)"
IN,39.90801,-86.27548,"(39.90801, -86.27548)"
IA,42.07463,-93.50003,"(42.07463, -93.50003)"
KS,38.48471,-98.38019,"(38.48471, -98.38019)"
KY,37.52668,-85.29046,"(37.52668, -85.29046)"
LA,31.0891,-92.02905,"(31.0891, -92.02905)"
ME,45.38046,-69.22999,"(45.38046, -69.22999)"
MD,39.04533,-76.78588,"(39.04533, -76.78588)"
MA,42.25788,-71.81423,"(42.25788, -71.81423)"
MI,44.34717,-85.43675,"(44.34717, -85.43675)"
MN,46.31189,-94.31357,"(46.31189, -94.31357)"
MS,32.75201,-89.66553,"(32.75201, -89.66553)"
MO,38.3208,-92.38554,"(38.3208, -92.38554)"
MT,47.0335,-109.64507,"(47.0335, -109.64507)"
NE,41.52709,-99.81058,"(41.52709, -99.81058)"
NV,39.35648,-116.65539,"(39.35648, -116.65539)"
NH,43.68556,-71.57754,"(43.68556, -71.57754)"
NJ,40.20049,-74.66876,"(40.20049, -74.66876)"
NM,34.42137,-106.10837,"(34.42137, -106.10837)"
NY,42.94796,-75.51491,"(42.94796, -75.51491)"
NC,35.54369,-79.37865,"(35.54369, -79.37865)"
ND,47.44626,-100.46935,"(47.44626, -100.46935)"
OH,40.2912,-82.79002,"(40.2912, -82.79002)"
OK,35.58345,-97.50819,"(35.58345, -97.50819)"
OR,43.93589,-120.55232,"(43.93589, -120.55232)"
PA,40.87368,-77.7993,"(40.87368, -77.7993)"
RI,41.67544,-71.55579,"(41.67544, -71.55579)"
SC,33.93574,-80.89899,"(33.93574, -80.89899)"
SD,44.43614,-100.23048,"(44.43614, -100.23048)"
TN,35.84299,-86.34332,"(35.84299, -86.34332)"
TX,31.49422,-99.35939,"(31.49422, -99.35939)"
UT,39.32379,-111.67822,"(39.32379, -111.67822)"
VT,44.07511,-72.66273,"(44.07511, -72.66273)"
VA,37.51637,-78.82957,"(37.51637, -78.82957)"
WV,38.64259,-80.61372,"(38.64259, -80.61372)"
WI,44.63725,-90.01144,"(44.63725, -90.01144)"
WY,42.99963,-107.55144,"(42.99963, -107.55144)"
