,AL,AZ,AR,CA,CO,CT,DE,DC,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WV,WI,WY
AL,0.0,8.0,27.0,53.0,10.0,0.0,0.0,28.0,127.0,72.0,0.0,46.0,9.0,9.0,12.0,40.0,31.0,4.0,9.0,9.0,24.0,15.0,28.0,30.0,12.0,10.0,3.0,2.0,8.0,3.0,45.0,33.0,0.0,36.0,15.0,15.0,16.0,1.0,15.0,1.0,86.0,205.0,11.0,1.0,16.0,3.0,25.0,4.0
AZ,20.0,0.0,6.0,264.0,39.0,10.0,2.0,79.0,123.0,17.0,6.0,135.0,12.0,9.0,47.0,25.0,11.0,8.0,11.0,20.0,47.0,24.0,12.0,11.0,5.0,16.0,36.0,1.0,23.0,16.0,161.0,21.0,0.0,44.0,18.0,43.0,23.0,3.0,3.0,4.0,34.0,186.0,25.0,1.0,17.0,3.0,31.0,10.0
AR,14.0,8.0,0.0,28.0,10.0,2.0,2.0,22.0,41.0,14.0,0.0,37.0,2.0,8.0,20.0,16.0,11.0,5.0,3.0,3.0,15.0,10.0,7.0,21.0,3.0,8.0,11.0,0.0,5.0,0.0,32.0,7.0,1.0,11.0,27.0,6.0,14.0,3.0,3.0,0.0,67.0,144.0,4.0,0.0,4.0,0.0,8.0,2.0
CA,147.0,307.0,38.0,0.0,239.0,97.0,24.0,350.0,650.0,192.0,24.0,358.0,87.0,114.0,167.0,119.0,85.0,32.0,49.0,135.0,175.0,100.0,38.0,60.0,32.0,47.0,247.0,45.0,77.0,26.0,979.0,102.0,10.0,250.0,67.0,235.0,251.0,27.0,31.0,26.0,123.0,1046.0,106.0,24.0,154.0,30.0,111.0,28.0
CO,20.0,41.0,4.0,107.0,0.0,4.0,3.0,51.0,121.0,28.0,5.0,181.0,16.0,33.0,65.0,26.0,19.0,3.0,10.0,16.0,34.0,32.0,14.0,19.0,4.0,25.0,12.0,2.0,10.0,12.0,119.0,27.0,2.0,33.0,16.0,28.0,37.0,1.0,8.0,10.0,13.0,272.0,25.0,7.0,14.0,2.0,21.0,16.0
CT,10.0,14.0,1.0,44.0,16.0,0.0,2.0,54.0,92.0,10.0,1.0,38.0,20.0,21.0,15.0,18.0,5.0,4.0,11.0,35.0,16.0,12.0,4.0,3.0,1.0,3.0,4.0,4.0,15.0,1.0,173.0,18.0,1.0,57.0,4.0,14.0,22.0,6.0,5.0,4.0,21.0,131.0,3.0,5.0,19.0,6.0,9.0,5.0
DE,4.0,2.0,0.0,5.0,3.0,8.0,0.0,10.0,21.0,8.0,0.0,10.0,1.0,4.0,6.0,3.0,2.0,0.0,22.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,53.0,0.0,34.0,5.0,0.0,8.0,1.0,6.0,32.0,5.0,3.0,0.0,5.0,24.0,4.0,1.0,7.0,0.0,1.0,1.0
DC,25.0,17.0,4.0,64.0,11.0,5.0,9.0,0.0,94.0,27.0,5.0,59.0,13.0,15.0,22.0,12.0,14.0,7.0,71.0,29.0,25.0,13.0,13.0,6.0,3.0,14.0,8.0,4.0,16.0,3.0,201.0,28.0,3.0,36.0,7.0,36.0,39.0,8.0,10.0,2.0,17.0,116.0,5.0,8.0,51.0,4.0,23.0,3.0
FL,107.0,91.0,20.0,514.0,95.0,14.0,19.0,246.0,0.0,183.0,7.0,220.0,63.0,76.0,100.0,71.0,84.0,22.0,75.0,125.0,155.0,51.0,33.0,48.0,20.0,31.0,52.0,4.0,86.0,9.0,714.0,188.0,5.0,223.0,46.0,85.0,143.0,5.0,51.0,9.0,153.0,771.0,27.0,15.0,76.0,6.0,96.0,6.0
GA,135.0,37.0,42.0,144.0,55.0,7.0,7.0,78.0,481.0,0.0,11.0,417.0,22.0,28.0,48.0,52.0,72.0,9.0,89.0,37.0,86.0,75.0,45.0,32.0,1.0,20.0,19.0,5.0,21.0,10.0,337.0,121.0,7.0,139.0,26.0,40.0,61.0,5.0,47.0,5.0,153.0,430.0,20.0,1.0,72.0,7.0,41.0,10.0
