unicode	country	unicode_1	country_code
\\u0001f1e6\\u0001f1e9	Andorra	\u0001f1e6\u0001f1e9	flag: Andorra
\\u0001f1e6\\u0001f1ea	United Arab Emirates	\u0001f1e6\u0001f1ea	flag: United Arab Emirates
\\u0001f1e6\\u0001f1eb	Afghanistan	\u0001f1e6\u0001f1eb	flag: Afghanistan
\\u0001f1e6\\u0001f1ec	Antigua and Barbuda	\u0001f1e6\u0001f1ec	flag: Antigua and Barbuda
\\u0001f1e6\\u0001f1ee	Anguilla	\u0001f1e6\u0001f1ee	flag: Anguilla
\\u0001f1e6\\u0001f1f1	Albania	\u0001f1e6\u0001f1f1	flag: Albania
\\u0001f1e6\\u0001f1f2	Armenia	\u0001f1e6\u0001f1f2	flag: Armenia
\\u0001f1e6\\u0001f1f4	Angola	\u0001f1e6\u0001f1f4	flag: Angola
\\u0001f1e6\\u0001f1f6	Antarctica	\u0001f1e6\u0001f1f6	flag: Antarctica
\\u0001f1e6\\u0001f1f7	Argentina	\u0001f1e6\u0001f1f7	flag: Argentina
\\u0001f1e6\\u0001f1f8	American Samoa	\u0001f1e6\u0001f1f8	flag: American Samoa
\\u0001f1e6\\u0001f1f9	Austria	\u0001f1e6\u0001f1f9	flag: Austria
\\u0001f1e6\\u0001f1fa	Australia	\u0001f1e6\u0001f1fa	flag: Australia
\\u0001f1e6\\u0001f1fc	Aruba	\u0001f1e6\u0001f1fc	flag: Aruba
\\u0001f1e6\\u0001f1fd	Åland Islands	\u0001f1e6\u0001f1fd	flag: Åland Islands
\\u0001f1e6\\u0001f1ff	Azerbaijan	\u0001f1e6\u0001f1ff	flag: Azerbaijan
\\u0001f1e7\\u0001f1e6	Bosnia and Herzegovina	\u0001f1e7\u0001f1e6	flag: Bosnia and Herzegovina
\\u0001f1e7\\u0001f1e7	Barbados	\u0001f1e7\u0001f1e7	flag: Barbados
\\u0001f1e7\\u0001f1e9	Bangladesh	\u0001f1e7\u0001f1e9	flag: Bangladesh
\\u0001f1e7\\u0001f1ea	Belgium	\u0001f1e7\u0001f1ea	flag: Belgium
\\u0001f1e7\\u0001f1eb	Burkina Faso	\u0001f1e7\u0001f1eb	flag: Burkina Faso
\\u0001f1e7\\u0001f1ec	Bulgaria	\u0001f1e7\u0001f1ec	flag: Bulgaria
\\u0001f1e7\\u0001f1ed	Bahrain	\u0001f1e7\u0001f1ed	flag: Bahrain
\\u0001f1e7\\u0001f1ee	Burundi	\u0001f1e7\u0001f1ee	flag: Burundi
\\u0001f1e7\\u0001f1ef	Benin	\u0001f1e7\u0001f1ef	flag: Benin
\\u0001f1e7\\u0001f1f1	Saint Barthélemy	\u0001f1e7\u0001f1f1	flag: Saint Barthélemy
\\u0001f1e7\\u0001f1f2	Bermuda	\u0001f1e7\u0001f1f2	flag: Bermuda
\\u0001f1e7\\u0001f1f3	Brunei Darussalam	\u0001f1e7\u0001f1f3	flag: Brunei Darussalam
\\u0001f1e7\\u0001f1f4	Bolivia	\u0001f1e7\u0001f1f4	flag: Bolivia
\\u0001f1e7\\u0001f1f6	Bonaire, Sint Eustatius and Saba	\u0001f1e7\u0001f1f6	flag: Bonaire, Sint Eustatius and Saba
\\u0001f1e7\\u0001f1f7	Brazil	\u0001f1e7\u0001f1f7	flag: Brazil
\\u0001f1e7\\u0001f1f8	Bahamas	\u0001f1e7\u0001f1f8	flag: Bahamas
